name,rank,percentage
simon,360,0.000458853051046
fernandes,361,0.000456983323848
gregory,362,0.000453353853406
little,363,0.000453298861430
greene,364,0.000453133885500
beck,365,0.000452913917595
macdonald,366,0.000450164318775
larsen,367,0.000448074623672
fitzgerald,368,0.000447854655766
fuller,369,0.000447304736002
fleming,370,0.000446149904498
moran,371,0.000445160048923
higgins,372,0.000444335169277
espinoza,373,0.000443620273584
luna,374,0.000442135490221
page,375,0.000442025506269
pierce,376,0.000441090642670
klein,377,0.000439330899425
carlson,378,0.000439055939543
mejia,379,0.000438945955590
wilkinson,380,0.000438670995708
figueroa,381,0.000436416324676
sutton,382,0.000435096517243
chambers,383,0.000434601589455
montgomery,384,0.000433611733880
hopkins,385,0.000430587175178
fowler,386,0.000428277512170
stevenson,387,0.000424703033704
cohen,388,0.000424648041727
avila,389,0.000423603194176
howell,390,0.000422723322554
webster,391,0.000422668330577
valdez,392,0.000422393370695
daniel,393,0.000421953434884
bates,394,0.000419643771875
hussain,395,0.000413979598307
nair,396,0.000413099726684
tiwari,397,0.000410900047629
banks,398,0.000409745216124
lloyd,399,0.000409635232171
padilla,400,0.000407655521021
burgess,401,0.000406335713588
rocha,402,0.000405070898131
serrano,403,0.000404081042555
mann,404,0.000402926211051
sims,405,0.000400671540019
larson,406,0.000399571700491
suarez,407,0.000398746820845
schultz,408,0.000397482005388
kulkarni,409,0.000397317029459
gomes,410,0.000396382165860
welch,411,0.000396217189931
jennings,412,0.000395887238073
barnett,413,0.000395777254120
franco,414,0.000395722262143
owen,415,0.000394292470757
stanley,416,0.000392862679371
david,417,0.000391982807748
andersen,418,0.000390937960197
andrade,419,0.000390663000315
hardy,420,0.000390388040433
mclaughlin,421,0.000390168072527
bowman,422,0.000387858409519
jiang,423,0.000387583449637
cross,424,0.000387143513826
miles,425,0.000387033529873
newton,426,0.000385383770581
leonard,427,0.000384833850817
ball,428,0.000383679019313
keller,429,0.000383129099549
wade,430,0.000382744155714
cameron,431,0.000382524187808
wolf,432,0.000382469195832
norris,433,0.000382249227926
steele,434,0.000381149388398
lyons,435,0.000380929420493
parsons,436,0.000379444637130
fuentes,437,0.000375760174712
almeida,438,0.000372900591939
rowe,439,0.000372680624034
carrillo,440,0.000372405664152
brady,441,0.000369931025214
cabrera,442,0.000368776193709
byrne,443,0.000367236418370
sharp,444,0.000366961458488
holt,445,0.000366191570819
blake,446,0.000365421683149
duran,447,0.000365366691173
lara,448,0.000364761779433
cardenas,449,0.000362617092353
moss,450,0.000361682228754
potter,451,0.000361462260849
calderon,452,0.000360857349108
flynn,453,0.000359922485510
garrett,454,0.000359097605864
walton,455,0.000358932629935
martins,456,0.000357337862619
juarez,457,0.000357172886690
ayala,458,0.000356457990997
mehta,459,0.000354093336012
ribeiro,460,0.000351398729168
oneill,461,0.000349968937782
rhodes,462,0.000347989226632
pacheco,463,0.000346999371057
thomson,464,0.000346614427222
johansen,465,0.000346394459316
chauhan,466,0.000346009515482
barber,467,0.000345954523505
benson,468,0.000345569579670
alves,469,0.000343534876544
thornton,470,0.000343149932709
baldwin,471,0.000342380045040
carvalho,472,0.000342160077134
love,473,0.000340015390055
atkinson,474,0.000334571184391
mccoy,475,0.000334516192415
john,476,0.000333306368934
garg,477,0.000332371505336
robles,478,0.000331656609642
brennan,479,0.000331656609642
pedersen,480,0.000331326657784
brewer,481,0.000331051697902
todd,482,0.000330776738020
warner,483,0.000329291954657
reeves,484,0.000328907010823
bauer,485,0.000328467075011
hammond,486,0.000328082131177
agrawal,487,0.000327037283625
camacho,488,0.000325937444097
lopes,489,0.000325662484215
goodwin,490,0.000325607492239
christensen,491,0.000325332532357
aguirre,492,0.000324562644687
lang,493,0.000321758053891
caldwell,494,0.000318843479142
manning,495,0.000317963607520
hale,496,0.000316533816134
farrell,497,0.000316478824157
haynes,498,0.000316093880322
marsh,499,0.000315873912417
dennis,500,0.000315543960558
cortes,501,0.000314939048818
griffiths,502,0.000314554104983
barton,503,0.000313729225337
casey,504,0.000312024474069
neal,505,0.000309054907344
kerr,506,0.000308779947462
shaikh,507,0.000308010059792
guerra,508,0.000307460140028
lau,509,0.000307295164099
horton,510,0.000306580268406
schroeder,511,0.000306195324571
roman,512,0.000306195324571
valencia,513,0.000305480428878
shepherd,514,0.000304545565279
norman,515,0.000303775677610
solis,516,0.000303555709704
blair,517,0.000302950797964
powers,518,0.000302400878200
salinas,519,0.000301081070766
berg,520,0.000300311183097
osborne,521,0.000300256191120
fields,522,0.000298606431829
mckenzie,523,0.000296351760796
rivas,524,0.000294811985457
mora,525,0.000293877121859
deleon,526,0.000293877121859
terry,527,0.000293162226165
bowen,528,0.000291127523039
araujo,529,0.000291072531062
chandler,530,0.000290192659440
delacruz,531,0.000289532755723
huynh,532,0.000289037827936
mohamed,533,0.000288817860030
castaneda,534,0.000288432916195
nicholson,535,0.000286728164927
ahmad,536,0.000286398213069
montoya,537,0.000286013269234
cortez,538,0.000285958277258
frank,539,0.000284473493895
harrington,540,0.000284253525989
ochoa,541,0.000283483638320
arias,542,0.000282768742627
leung,543,0.000282658758674
booth,544,0.000282218822863
townsend,545,0.000281778887051
santana,546,0.000279964151830
waters,547,0.000279799175901
logan,548,0.000279139272184
cummings,549,0.000278644344397
kumari,550,0.000278369384515
jadhav,551,0.000278204408586
schwartz,552,0.000277874456727
cervantes,553,0.000277434520916
french,554,0.000276884601152
mclean,555,0.000276444665341
fraser,556,0.000275454809766
marin,557,0.000274189994309
vincent,558,0.000271660363395
rodgers,559,0.000270725499796
rosales,560,0.000270395547938
maxwell,561,0.000270395547938
hogan,562,0.000269680652244
rao,563,0.000269570668292
bush,564,0.000267645949118
malone,565,0.000267096029354
yates,566,0.000266546109590
gao,567,0.000265941197850
nolan,568,0.000265776221920
goncalves,569,0.000265446270062
goodman,570,0.000263686526817
ingram,571,0.000263246591006
koch,572,0.000263191599030
garner,573,0.000262971631124
lozano,574,0.000262861647171
dias,575,0.000262476703337
pearce,576,0.000262421711360
morton,577,0.000262036767525
zheng,578,0.000261816799620
raj,579,0.000261486847761
escobar,580,0.000259507136611
graves,581,0.000259342160682
gross,582,0.000258847232894
han,583,0.000258572273013
shukla,584,0.000256427585933
wolfe,585,0.000256372593957
pinto,586,0.000256042642098
michael,587,0.000255987650122
shelton,588,0.000255932658146
erickson,589,0.000254942802570
guo,590,0.000254557858736
prasad,591,0.000254117922924
richard,592,0.000253513011184
hassan,593,0.000253513011184
barry,594,0.000252798115491
cheung,595,0.000251863251892
sinha,596,0.000251643283987
sweeney,597,0.000251148356199
liang,598,0.000250928388294
foley,599,0.000250928388294
chung,600,0.000250653428412
parks,601,0.000250213492600
mcmahon,602,0.000250103508648
curry,603,0.000249113653072
velasquez,604,0.000249003669120
nash,605,0.000248673717261
lai,606,0.000248288773427
sousa,607,0.000247628869710
lamb,608,0.000247353909828
cannon,609,0.000247133941922
griffith,610,0.000246199078323
baxter,611,0.000246089094371
buckley,612,0.000245704150536
russo,613,0.000244714294961
nielsen,614,0.000244714294961
trujillo,615,0.000243504471480
gibbs,616,0.000242844567763
kane,617,0.000242679591834
harding,618,0.000242184664047
duarte,619,0.000241579752306
carey,620,0.000241469768353
hutchinson,621,0.000241084824519
bond,622,0.000241029832542
duffy,623,0.000240479912778
shen,624,0.000239765017085
weiss,625,0.000239710025109
robbins,626,0.000238115257793
farmer,627,0.000235695610832
song,628,0.000235640618856
swanson,629,0.000235475642926
bruce,630,0.000235420650950
mckinney,631,0.000235200683044
velazquez,632,0.000235035707115
frazier,633,0.000234100843516
wall,634,0.000233495931776
reilly,635,0.000233440939800
nilsen,636,0.000232506076201
boyle,637,0.000232066140390
mcguire,638,0.000231791180508
hodges,639,0.000231791180508
mcgrath,640,0.000231626204579
choi,641,0.000230856316909
colon,642,0.000230141421216
byrd,643,0.000229976445287
rossi,644,0.000229701485405
salas,645,0.000229316541570
daly,646,0.000229316541570
villanueva,647,0.000228766621806
saxena,648,0.000228051726113
ramsey,649,0.000227776766231
mcgee,650,0.000226236990892
orozco,651,0.000225687071128
stephenson,652,0.000225082159388
clayton,653,0.000224807199506
mack,654,0.000224587231600
briggs,655,0.000223872335907
petersen,656,0.000223542384048
norton,657,0.000223377408119
abbott,658,0.000223157440214
odonnell,659,0.000223102448237
bautista,660,0.000222992464284
roth,661,0.000221672656851
tate,662,0.000221342704993
mcdaniel,663,0.000221122737087
charles,664,0.000220132881512
correa,665,0.000219967905583
stokes,666,0.000219802929654
glover,667,0.000219417985819
schaefer,668,0.000218978050008
hubbard,669,0.000218648098149
barbosa,670,0.000218373138267
rahman,671,0.000218263154314
pawar,672,0.000217658242574
mccormick,673,0.000217548258621
cooke,674,0.000217493266645
doherty,675,0.000216338435141
pratt,676,0.000216008483282
mcbride,677,0.000215788515377
buchanan,678,0.000215238595613
law,679,0.000214303732014
rubio,680,0.000213973780156
wise,681,0.000213808804226
vaughn,682,0.000213808804226
frost,683,0.000213588836321
heath,684,0.000213478852368
anthony,685,0.000212928932604
conway,686,0.000212324020864
mckay,687,0.000211664117147
ibarra,688,0.000211499141218
connolly,689,0.000211004213430
kramer,690,0.000210894229477
tyler,691,0.000210454293666
sherman,692,0.000210344309713
berger,693,0.000209959365879
walter,694,0.000209629414020
zimmerman,695,0.000209024502280
alonso,696,0.000208584566469
pineda,697,0.000208144630658
mullins,698,0.000207594710894
fitzpatrick,699,0.000207484726941
valenzuela,700,0.000207374742988
bryan,701,0.000206604855319
ibrahim,702,0.000205505015791
bird,703,0.000205340039861
mercado,704,0.000204735128121
skinner,705,0.000204460168239
soares,706,0.000203910248475
hines,707,0.000202810408947
ghosh,708,0.000202810408947
zamora,709,0.000202755416971
pope,710,0.000202480457089
kirk,711,0.000202425465113
blanco,712,0.000202315481160
phan,713,0.000202205497207
machado,714,0.000201380617561
marques,715,0.000200720713844
donnelly,716,0.000200335770009
savage,717,0.000199950826175
short,718,0.000199785850246
kirby,719,0.000199510890364
hancock,720,0.000199235930482
chu,721,0.000199070954552
harmon,722,0.000198191082930
jha,723,0.000197806139095
